eXoID	Setup
DOS00302	No setup found
DOS00303	Options during startup
DOS00305	No setup found
DOS00307	SETUP.EXE
DOS00308	No setup found
DOS00309	No setup found
DOS00310	PKCONFIG.EXE
DOS00312	No setup found
DOS00313	No setup found
DOS00314	INSTALL.EXE
DOS00315	SETUP.BAT
DOS00316	No setup found
DOS00317	No setup found
DOS00318	Options during startup
DOS00319	Options during startup
DOS00320	No setup found
DOS00321	No setup found
DOS00322	No setup found
DOS00323	No setup found
DOS00324	No setup found
DOS00325	No setup found
DOS00326	No setup found
DOS00327	No setup found
DOS00328	No setup found
DOS00329	No setup found
DOS00330	D:\INSTALL.EXE
DOS00331	No setup found
DOS00332	Parameters added to boot command
DOS00334	No setup found
DOS00337	No setup found
DOS00338	No setup found
DOS00342	SETSND.EXE
DOS00343	No setup found
DOS00344	Parameters added to boot command
DOS00345	Parameters added to boot command
DOS00346	No setup found
DOS00347	INSTALL.EXE
DOS00348	No setup found
DOS00349	No setup found
DOS00350	Options during startup
DOS00352	SETUP.EXE
DOS00354	No setup found
DOS00355	SETSVGA.EXE
DOS00356	No setup found
DOS00357	No setup found
DOS00360	No setup found
DOS00361	No setup found
DOS00362	No setup found
DOS00364	SETUP.EXE
DOS00365	Options during startup
DOS00366	No setup found
DOS00368	SETUP.EXE
DOS00369	No setup found
DOS00370	No setup found
DOS00371	No setup found
DOS00372	No setup found
DOS00373	No setup found
DOS00374	No setup found
DOS00375	No setup found
DOS00376	No setup found
DOS00377	Options during startup
DOS00378	No setup found
DOS00379	No setup found
DOS00380	SETUP.EXE
DOS00381	No setup found
DOS00382	No setup found
DOS00383	No setup found
DOS00384	Options during startup
DOS00385	No setup found
DOS00386	No setup found
DOS00387	No setup found
DOS00388	No setup found
DOS00389	No setup found
DOS00390	No setup found
DOS00391	No setup found
DOS00392	No setup found
DOS00393	No setup found
DOS00394	No setup found
DOS00395	No setup found
DOS00396	No setup found
DOS00397	Options during startup
DOS00398	No setup found
DOS00401	SETUP.EXE
DOS00402	SETUP.EXE
DOS00403	No setup found
DOS00404	No setup found
DOS00409	No setup found
DOS00410	No setup found
DOS00411	No setup found
DOS00412	No setup found
DOS00413	INSTALL.EXE
DOS00414	No setup found
DOS00415	No setup found
DOS00416	No setup found
DOS00417	No setup found
DOS00418	No setup found
DOS00419	No setup found
DOS00420	No setup found
DOS00421	No setup found
DOS00422	No setup found
DOS00423	No setup found
DOS00424	No setup found
DOS00425	No setup found
DOS00426	No setup found
DOS00427	No setup found
DOS00428	No setup found
DOS00429	No setup found
DOS00430	No setup found
DOS00431	No setup found
DOS00432	No setup found
DOS00433	No setup found
DOS00434	No setup found
DOS00435	No setup found
DOS00437	No setup found
DOS00438	No setup found
DOS00439	Options during startup
DOS00440	No setup found
DOS00441	No setup found
DOS00442	No setup found
DOS00443	No setup found
DOS00446	No setup found
DOS00447	No setup found
DOS00448	No setup found
DOS00449	No setup found
DOS00450	No setup found
DOS00451	No setup found
DOS00452	No setup found
DOS00453	No setup found
DOS00454	SETUP.EXE
DOS00455	SETUP.EXE
DOS00456	No setup found
DOS00457	SETUP.EXE
DOS00458	INSTALL.EXE
DOS00459	D:\SETUP.BAT
DOS00460	No setup found
DOS00461	SETUP.EXE
DOS00463	INSTALL.EXE
DOS00467	Optional executeables
DOS00468	Options during startup
DOS00470	No setup found
DOS00472	No setup found
DOS00473	Options during startup
DOS00474	No setup found
DOS00475	No setup found
DOS00476	No setup found
DOS00477	CONFIG.EXE
DOS00478	INSTALL.EXE
DOS00479	SETUP.EXE
DOS00480	No setup found
DOS00481	No setup found
DOS00482	SETUP.BAT
DOS00483	SETSOUND.EXE
DOS00484	No setup found
DOS00485	SETUP.EXE
DOS00486	No setup found
DOS00489	No setup found
DOS00490	No setup found
DOS00491	No setup found
DOS00492	No setup found
DOS00494	SOUNDSET.EXE
DOS00495	No setup found
DOS00496	No setup found
DOS00497	Options during startup
DOS00498	SETUP.EXE
DOS00500	SETUP.EXE
DOS00501	No setup found
DOS00502	No setup found
DOS00503	No setup found
DOS00504	INSTALL.EXE
DOS00519	SETSOUND.BAT
DOS00520	No setup found
DOS00521	Options during startup
DOS00522	Options during startup
DOS00523	SETUP.EXE
DOS00524	No setup found
DOS00525	No setup found
DOS00526	No setup found
DOS00527	No setup found
DOS00528	SETUP.EXE
DOS00529	No setup found
DOS00530	No setup found
DOS00532	No setup found
DOS00533	Options during startup
DOS00534	Options during startup
DOS00536	No setup found
DOS00538	No setup found
DOS00539	No setup found
DOS00540	Options during startup
DOS00541	No setup found
DOS00542	No setup found
DOS00543	INSTALL.EXE
DOS00544	SETUP.EXE
DOS00547	Options during startup
DOS00548	INSTALL.EXE
DOS00549	No setup found
DOS00550	No setup found
DOS00551	In-Game Menu
DOS00554	No setup found
DOS00555	No setup found
DOS00556	No setup found
DOS00557	SOUND.EXE
DOS00558	No setup found
DOS00559	No setup found
DOS00560	SOUND.BAT
DOS00561	No setup found
DOS00562	No setup found
DOS00563	No setup found
DOS00564	No setup found
DOS00565	No setup found
DOS00566	SETSOUND.EXE
DOS00567	SETSOUND.EXE
DOS00568	No setup found
DOS00569	INSTALL.EXE
DOS00571	Options during startup
DOS00572	No setup found
DOS00573	INSTALL.EXE
DOS00574	SETUP.EXE
DOS00576	No setup found
DOS00581	INSTALL.EXE
DOS00582	INSTALL.EXE
DOS00583	INSTALL.EXE
DOS00585	No setup found
DOS00586	No setup found
DOS00587	SETSOUND.EXE
DOS00588	No setup found
DOS00589	SOUND.BAT
DOS00590	Options during startup
DOS00591	setup.exe
DOS00592	Options during startup
DOS00593	No setup found
DOS00594	No setup found
DOS00595	No setup found
DOS00596	No setup found
DOS00597	Options during startup
DOS00598	Options during startup
DOS00599	No setup found
DOS00600	No setup found
DOS00601	No setup found
DOS00602	SETUP.BAT
DOS00603	Options during startup
DOS00604	No setup found
DOS00605	Embedded in batchfile
DOS00610	No setup found
DOS00613	SETSOUND.EXE
DOS00614	No setup found
DOS00615	config.com
DOS00616	No setup found
DOS00617	SOUND.EXE
DOS00618	No setup found
DOS00619	INSTALL.EXE
DOS00621	No setup found
DOS00622	SETUP.EXE
DOS00623	No setup found
DOS00624	No setup found
DOS00625	No setup found
DOS00630	Options during startup
DOS00631	No setup found
DOS00635	MENU.EXE
DOS00636	SETUP.EXE
DOS00637	SETUP.EXE
DOS00639	No setup found
DOS00640	SETUP.EXE
DOS00641	Options during startup
DOS00642	SETUP.EXE
DOS00643	No setup found
DOS00644	sndsetup.exe
DOS00645	No setup found
DOS00646	Optional executeables
DOS00648	No setup found
DOS00649	SETSOUND.EXE
DOS00650	SETUP.EXE
DOS00651	No setup found
DOS00652	In-Game Menu
DOS00654	No setup found
DOS00655	No setup found
DOS00656	No setup found
DOS00658	Options during startup
DOS00659	No setup found
DOS00660	Options during startup
DOS00666	Options during startup
DOS00667	No setup found
DOS00668	Options during startup
DOS00669	Options during startup
DOS00672	INSTALL.EXE
DOS00673	No setup found
DOS00674	No setup found
DOS00675	No setup found
DOS00676	No setup found
DOS00677	No setup found
DOS00678	SETUP.EXE
DOS00679	No setup found
DOS00680	SETUP.EXE
DOS00681	No setup found
DOS00682	No setup found
DOS00683	INSTALL.BAT
DOS00689	No setup found
DOS00690	Options during startup
DOS00692	No setup found
DOS00694	INSTALL.BAT
DOS00696	INSTALL.BAT
DOS00698	No setup found
DOS00699	No setup found
DOS00700	SETUP.BAT
DOS00701	No setup found
DOS00702	INSTALL.EXE
DOS00703	Optional executeables
DOS00706	No setup found
DOS00708	No setup found
DOS00709	No setup found
DOS00710	INSTALL.EXE
DOS00711	No setup found
DOS00713	No setup found
DOS00714	No setup found
DOS00715	No setup found
DOS00716	SETSOUND.EXE
DOS00717	No setup found
DOS00718	No setup found
DOS00722	No setup found
DOS00724	No setup found
DOS00726	Options during startup
DOS00727	No setup found
DOS00728	Options during startup
DOS00729	No setup found
DOS00730	SETUP.EXE
DOS00732	Options during startup
DOS00733	No setup found
DOS00734	No setup found
DOS00735	No setup found
DOS00736	INSTALL.EXE
DOS00737	INSTALL.EXE
DOS00739	No setup found
DOS00740	No setup found
DOS00741	AUD_EDIT.EXE
DOS00742	No setup found
DOS00743	INSTALL.EXE
DOS00744	No setup found
DOS00745	No setup found
DOS00746	No setup found
DOS00747	DISK.BAT
DOS00750	Options during startup
DOS00751	INSTALL.BAT
DOS00754	Options during startup
DOS00755	Options during startup
DOS00757	No setup found
DOS00758	No setup found
DOS00759	Options during startup
DOS00760	Parameters added to boot command
DOS00761	SETUP.EXE
DOS00763	install.exe
DOS00764	No setup found
DOS00765	No setup found
DOS00766	Parameters added to boot command
DOS00767	INSTALL.EXE
DOS00768	Options during startup
DOS00769	No setup found
