eXoID	MobyID	Game	Safe	File	Folder	Year	Publisher	Developer	Genre	Perspective	SubGenre	Misc	Series	URL	Collection	Notes	Compilation?	Foreign?	Add-On Included?	3D Graphics Card	3DFX Enabled	Video Modes	Video Resolution	SC55 Enabled	MT32 Enabled	Tandy Sound Enabled	Printer Support?	Max Players	Min CPU
DOS16196		!Bingo Granny!	!Bingo Granny!	!Bingo Granny! (2002).zip	BingoGr	2002	Freeware	Phillip Gervais	Adventure; Simulation						Y													1	
DOS03966	7457	...A Personal Nightmare	Personal Nightmare	Personal Nightmare (1989).zip	pnite	1989	Box Office, Inc.	Horror Soft Ltd.	Adventure	1st-Person Perspective	Horror		Theme: Horror	http://www.mobygames.com/game/a-personal-nightmare	Y							CGA; EGA						1	Intel 8088 / 8086
DOS15191		.386 Spys	386 Spys	386 Spys (1989).zip	386Spys	1989	Genki Software	Genki Software	Action; Racing & Driving				Genre: Spy	https://www.old-games.ru/game/4297.html	Y													1	
DOS06212	20097	¿Quien es Cualo?	Quien es Cualo	Quien es Cualo (1994).zip	Quien94	1994	BASS Software	BASS Software	Board Game / Party Game		Board / Party Game			http://www.mobygames.com/game/quien-es-cualo	Y													1	
DOS15189		+K	+K	+K (1996).zip	+K	1996	Freeware	Luis Crespo	Action; Platform					https://www.old-games.ru/game/6303.html	Y													1	
DOS07724	94674	µLabyrinth3d game	MLabyrinth	MLabyrinth (1993).zip	mlab93	1993	Gamos Ltd.	Gamos Ltd.	Puzzle					http://www.mobygames.com/game/mlabyrinth	Y													1	
DOS02881	2236	007 James Bond: The Stealth Affair	James Bond 007 - The Stealth Affair	James Bond 007 - The Stealth Affair (1990).zip	ostealth	1990	Interplay Productions, Inc.	Delphine Software International	Action; Adventure		Detective / Mystery, Puzzle-Solving, Spy / Espionage	Licensed Title	James Bond licensees; Genre: Spy	http://www.mobygames.com/game/007-james-bond-the-stealth-affair	Y							CGA; VGA; EGA; Hercules; Tandy / PCjr; MCGA			Y			1	Intel 8088 / 8086
DOS00603	4586	007: Licence to Kill	007 - Licence to Kill	007 - Licence to Kill (1989).zip	007Licen	1989	Domark Software Ltd.	Quixel	Action; Racing & Driving; Shooter	3rd-Person Perspective, Top-Down	Arcade, Helicopter, Naval, Shooter, Spy / Espionage	Licensed Title	James Bond licensees; Genre: Spy	http://www.mobygames.com/game/007-licence-to-kill	Y							CGA; EGA; Hercules; Tandy / PCjr						1	Intel 8088 / 8086
DOS00624	1115	1 Ton	1 Ton	1 Ton (1996).zip	1Ton	1996	Freeware	Martin Magni	Action		Shooter			http://www.mobygames.com/game/1-ton	Y													1	
DOS07738	96180	1,000 Miler	1000 Miler	1000 Miler (1987).zip	1000mile	1987	Softdisk Publishing	Karen Middaugh	Board Game / Party Game; Strategy					http://www.mobygames.com/game/1000-miler	Y													2	
DOS00605	12691	1000 Miglia	1000 Miglia	1000 Miglia (1992).zip	1000Migl	1991				3rd-Person Perspective				http://www.mobygames.com/game/1000-miglia	Y							VGA						1	Intel 8088 / 8086
DOS00012		10Rogue	10Rogue	10Rogue (1984).zip	10Rogue	1984	Codebusters	Codebusters	Role-Playing				Rogue variants / Roguelikes; Theme: Fantasy		Y													1	
DOS00610	15116	10th Frame	10th Frame	10th Frame (1987).zip	10thFram	1987	U.S. Gold Ltd.	Access Software, Inc.	Sports / Bowling	3rd-Person Perspective				http://www.mobygames.com/game/10th-frame	Y							CGA						8	Intel 8088 / 8086
DOS15963		120 Degrees Below Zero	120 Degrees Below Zero	120 Degrees Below Zero (2012).zip	120Deg	2012	Freeware	Jeremiah Nellis	Adventure						Y													1	
DOS07258	69244	123-Talk	123-Talk	123-Talk (1993).zip	123Talk	1993	Freeware	Creative Educational Software Inc.	Education					http://www.mobygames.com/game/123-talk	Y							VGA; EGA						1	
DOS00614	51865	15 Move Hole Puzzle	15 Move Hole Puzzle	15 Move Hole Puzzle (1994).zip	15move	1994	DEMONsoft	DEMONsoft	Puzzle / Sliding block & tile	Platform	Adult, Board / Party Game, Puzzle-Solving		Genre: Sliding block / tile puzzle	http://www.mobygames.com/game/15-move-hole-puzzle	Y													1	
DOS00615	41726	15x15	15x15	15x15 (1996).zip	15x15	1996	IFTECH Software AB	Nikita Ltd.	Puzzle / Sliding block & tile		Puzzle-Solving		Genre: Sliding block / tile puzzle	http://www.mobygames.com/game/15-x-15	Y													1	
DOS00616	41728	16	16	16 (1996).zip	16STR	1996	Freeware	Unknown	Puzzle / Sliding block & tile		Puzzle-Solving		Genre: Sliding block / tile puzzle	http://www.mobygames.com/game/16sliding	Y													1	
DOS00617	2600	1830: Railroads and Robber Barons	1830 Railroads and Robber Barons	1830 Railroads and Robber Barons (1995).zip	1830	1995	The Avalon Hill Game Company	SimTex, Inc.	Board Game / Party Game; Construction and Management Simulation; Strategy	Top-Down	Board / Party Game, Managerial, Train	Licensed Title	Board / Party Game translations	http://www.mobygames.com/game/1830-railroads-robber-barons	Y							VGA		Y	Y			6	Intel i386 SX
DOS00618	2068	1869	1869	1869 (1992).zip	1869	1992							Merchant / Trade-oriented games	http://www.mobygames.com/game/1869historyexperience	Y							VGA						4	Intel 80286
DOS00619	1170	1942: The Pacific Air War	1942 The Pacific Air War	1942 The Pacific Air War (1994).zip	1942PAW	1994				1st-Person Perspective	Flight, Historical Battle (specific/exact)	Editor / Construction Set	Historical Conflict: World War II	http://www.mobygames.com/game/1942-the-pacific-air-war	Y							VGA		Y	Y			2	Intel i386 SX
DOS07689	90918	1993	1993	1993 (1992).zip	1993	1993	IFTECH Software AB	Nikita Ltd.	Action				Theme: Sci-Fi	http://www.mobygames.com/game/nineteenninetythree	Y													1	
DOS00621	26991	1993tris	1992tris	1992tris (1993).zip	1993tris	1993	Freeware	Unknown	Puzzle / Falling block puzzle		Puzzle-Solving, Real-Time		Genre: Falling block puzzle	http://www.mobygames.com/game/1993tris	Y							EGA						1	
DOS00622	55315	1994Pool+	1994Pool+	1994Pool+ (1994).zip	1994Pool	1994	Ninano Software Co.	Ninano Software Co.	Sports / Pool & Snooker	Top-Down			Sports: Pool	http://www.mobygames.com/game/1994pool	Y							VGA						2	Intel i386
DOS07261	66980	1995Card+	1995Card+	1995Card+ (1994).zip	1995Card	1994	Freeware	Ninano Software Co.	Casino		Cards / Tiles			http://www.mobygames.com/game/1995card	Y							EGA (Tweaked); VGA (Tweaked)						1	
DOS07262	69341	1998 Amerika	1998 Amerika	1998 Amerika (1987).zip	1998Amer	1987	Freeware	Pasadena Software	Board Game / Party Game; Strategy		Board / Party Game			http://www.mobygames.com/game/1998-amerika	Y													1	
DOS00623	17745	1st Person Pinball	1st Person Pinball	1st Person Pinball (1989).zip	1stPerso	1989	Tynesoft Computer Software	Cirrus Software	Action; Pinball	1st-Person Perspective, 3rd-Person Perspective	Pinball			http://www.mobygames.com/game/1st-person-pinball	Y							CGA; EGA						4	
DOS15190		2 Fast 4 You	2 Fast 4 You	2 Fast 4 You (1995).zip	2Fast4U	1995								https://www.old-games.ru/game/5011.html	Y													2	
DOS00625	6396	20,000 Leagues Under the Sea	20,000 Leagues Under the Sea	20,000 Leagues Under the Sea (1988).zip	20000	1988	Coktel Vision	Coktel Vision	Adventure	1st-Person Perspective	Puzzle-Solving	Licensed Title	Theme: Sci-Fi	http://www.mobygames.com/game/20000-leagues-under-the-sea	Y							CGA; EGA; Tandy / PCjr; Amstrad						1	Intel 8088 / 8086
DOS07769	98704	2048x2048	2048x2048	2048x2048 (2016).zip	20482048	2016	Freeware	Loren Blaney	Puzzle					http://www.mobygames.com/game/2048x2048	Y													1	Intel i386
DOS07263	68274	21	21	21 (1982).zip	21Sim	1982	PCC, Inc.	Unknown	Casino	Top-Down	Cards / Tiles, Casino, Turn-based		Card game - Blackjack	http://www.mobygames.com/game/21dos	Y													1	Intel 8088 / 8086
DOS00630	5838	221B Baker St.	221B Baker Street	221B Baker Street (1987).zip	221baker	1987	Datasoft, Inc.	IntelliCreations, Inc.	Adventure; Strategy	Platform, Side-Scrolling	Board / Party Game, Detective / Mystery, Puzzle-Solving	Licensed Title	Sherlock Holmes Games; Board / Party Game translations	http://www.mobygames.com/game/221-b-baker-st	Y							CGA; EGA						4	Intel 8088 / 8086
DOS00631	1001	2400 A.D.	2400 AD	2400 AD (1988).zip	2400ad	1988	ORIGIN Systems, Inc.	ORIGIN Systems, Inc.	Role-Playing	Top-Down	Post-Apocalyptic, Real-Time, Sci-Fi / Futuristic		Theme: Sci-Fi	http://www.mobygames.com/game/2400-ad	Y							CGA; EGA; Hercules; Tandy / PCjr						1	Intel 8088 / 8086
DOS15188		25	25	25 (1999).zip	25	1999	Freeware	Devilish Games	Action; Platform					https://www.old-games.ru/game/7963.html	Y													1	
DOS00278	59581	2x2	2x2	2x2 (1995).zip	2x2	1995	AT&M	Ajt Soft	Education		Puzzle-Solving			http://www.mobygames.com/game/2x2_	Y							VGA						1	
DOS06492	65135	3 Card High Low Poker	3 Card High Low Poker	3 Card High Low Poker (1986).zip	3chlp	1986	Freeware	Ken Firch	Casino		Cards / Tiles		Genre: Card / Tile game - Poker	http://www.mobygames.com/game/3-card-high-low-poker	Y													1	
DOS00648	4915	3 Point Basketball	3 Point Basketball	3 Point Basketball (1993).zip	3PointBa	1993	MVP Software	MVP Software	Sports / Basketball	1st-Person Perspective			Sports: Basketball	http://www.mobygames.com/game/3-point-basketball	Y							VGA						2	
DOS00649	3286	3 Skulls of the Toltecs	3 Skulls of the Toltecs	3 Skulls of the Toltecs (1996).zip	3SKULLS	1996				3rd-Person Perspective, Side-Scrolling	Puzzle-Solving			http://www.mobygames.com/game/3-skulls-of-the-toltecs	Y							SuperVGA		Y	Y			1	Intel i486 DX2
DOS17472		3D Alchemy		3D Game Alchemy (1996).zip	3DAlchem	1996	Sams Publishing		First Person Shooter; Action				DOOM series; Heretic and Hexen series; Playlist: Remote Multiplayer		Y													4	
DOS15194		3D Ball	3D Ball	3D Ball (1987).zip	3DBall87	1987	Freeware	Lee Griffin	Action						Y													1	
DOS00635	35021	3D Ball Blaster	3D Ball Blaster	3D Ball Blaster (1992).zip	3DBallBl	1992				1st-Person Perspective			Sports: Soccer	http://www.mobygames.com/game/3d-ball-blaster	Y							VGA						1	Intel i386
DOS15192		3D Baller	3D Baller	3D Baller (1996).zip	3DBaller	1996	Digital Nightmares	Digital Nightmares	Action; Shooter				Theme: Sci-Fi	https://www.old-games.ru/game/7192.html	Y													1	
DOS00636	6163	3-D Body Adventure	3-D Body Adventure	3-D Body Adventure (1994).zip	3-DBodyA	1994	Knowledge Adventure, Inc.	Knowledge Adventure, Inc.	Education		Puzzle-Solving			http://www.mobygames.com/game/3-d-body-adventure	Y									Y				1	
DOS00637	41714	3D Bomber	3D Bomber	3D Bomber (1998).zip	3DBomber	1998	Freeware	Steven Don	Action	1st-Person Perspective	Arcade		Dynablaster/Bomberman variants	http://www.mobygames.com/game/3d-bomber	Y							VGA; MCGA		Y				2	Intel i386 SX
DOS15964		3D CyberPuck	3D CyberPuck	3D CyberPuck (1995).zip	3DCyPuck	1995	Webfoot Technologies	Dungeon Entertainment	Action						Y													1	
DOS00640	44857	3-D Dinosaur Adventure	3D Dinosaur Adventure	3D Dinosaur Adventure (1993).zip	dinoadv	1993	Knowledge Adventure, Inc.	Knowledge Adventure, Inc.	Adventure; Education	1st-Person Perspective, 3rd-Person Perspective				http://www.mobygames.com/game/3-d-dinosaur-adventure	Y							VGA; VESA						1	Intel i486 DX
DOS00268	69865	3D Hamster's Adventure	3D Hamster's Adventure	3D Hamster's Adventure (1996).zip	3dham	1996	Laser Point Publishing	Laser Point	Action					http://www.mobygames.com/game/hamsters-adventure	Y													1	
DOS00642	7624	3D Lemmings Winterland	3D Lemmings Winterland	3D Lemmings Winterland (1995).zip	lemmi3d	1995	Psygnosis Limited	Clockwork Games Limited	Puzzle		Puzzle-Solving, Real-Time		Lemmings series	http://www.mobygames.com/game/3d-lemmings-winterland	Y							VGA; VESA; SuperVGA		Y	Y			1	Intel i486
DOS00286	59508	3D Pinball	3D Pinball	3D Pinball (1992).zip	3DPinba	1992	Villa Crespo Software, Inc.	Microvalue	Action; Pinball	Top-Down	Pinball			http://www.mobygames.com/game/3d-pinball_	Y							VGA; EGA						4	Intel 8088 / 8086
DOS00643	942	3-D Pitfall	3D Pitfall	3D Pitfall (1994).zip	3dpitfal	1995	Freeware	J. Shramko	Puzzle / Falling block puzzle	Top-Down	Puzzle-Solving, Real-Time		Genre: Falling block puzzle	http://www.mobygames.com/game/3d-pitfall	Y							EGA						1	Intel 80286
DOS15196		3D Space Fighter	3D Space Fighter	3D Space Fighter (1998).zip	3DSF	1998	Cheegrah Interactive	Cheegrah Interactive	Action; Shooter / Scrolling shoot'em up				Genre: Scrolling shoot 'em up; Theme: Sci-Fi		Y													1	
DOS00644	27346	3-D TableSports	3-D TableSports	3-D TableSports (1996).zip	3-DTable	1996	Time Warner Interactive, Inc.	Mass Media	Action; Sports	1st-Person Perspective, Top-Down	Arcade, Paddle / Pong			http://www.mobygames.com/game/3-d-tablesports	Y	No Midi						SuperVGA						16	Intel i486 DX
DOS00645	13384	3-D Tic-Tac-Toe	3-D Tic-Tac-Toe	3-D Tic-Tac-Toe (1992).zip	3dttt	1982	Freeware	Unknown	Board Game / Party Game; Strategy		Board / Party Game		Board / Party Game translations	http://www.mobygames.com/game/3-d-tic-tac-toe	Y							CGA	320x200					1	Intel 8088 / 8086
DOS07264	69224	3D Trek	3D Trek	3D Trek (1992).zip	3DTrek	1992	Freeware	Unknown	Adventure	1st-Person Perspective	Sci-Fi / Futuristic		Fangames; Theme: Sci-Fi	http://www.mobygames.com/game/3d-trek	Y													1	
DOS00646	9595	3D World Boxing	3D World Boxing	3D World Boxing (1992).zip	3DWorldB	1992				3rd-Person Perspective, Platform			Sports: Boxing	http://www.mobygames.com/game/3d-world-boxing-	Y							VGA						1	
DOS07265	70425	3D Xmas Adventure: Santa's Rescue	3D Xmas Adventure - Santa's Rescue	3D Xmas Adventure - Santa's Rescue (1996).zip	3DXmas	1996	Pie in the Sky Software	Pie in the Sky Software	Action; First Person Shooter	1st-Person Perspective	Shooter		3D Engine: Pie in the Sky	http://www.mobygames.com/game/3d-xmas-adventure-santas-rescue	Y							VGA						1	Intel i486
DOS00639	41717	3DCube	3DCube	3DCube (1994).zip	3DCube	1994	Warren Ward	Warren Ward	Puzzle	1st-Person Perspective	Puzzle-Solving			http://www.mobygames.com/game/3dcube	Y													1	
DOS00641	832	3-Demon	3-Demon	3-Demon (1983).zip	3Demon	1983	PC Research Inc.	PC Research Inc	Action; First Person Shooter	1st-Person Perspective	Arcade		Pac-Man variants	http://www.mobygames.com/game/3-demon	Y							CGA; CGA (Tweaked)						1	Intel 8088 / 8086
DOS15195		3Detris	3Detris	3Detris (1994).zip	3Detris	1994	Freeware	Vadim Madgazin	Puzzle / Falling block puzzle				Genre: Falling block puzzle		Y													1	
DOS07834		3DHero	3DHero	3DHero (1997).zip	3DHero	1997	Soft-World International	Engine Technology	Action; First Person Shooter; Role-Playing					http://nemo838.tistory.com/644?category=701785	Y													1	
DOS00287	59409	3DWorld	3DWorld	3DWorld (1994).zip	3DWorld	1994	Freeware	Robert Burke	Action; Sports	1st-Person Perspective, 3rd-Person Perspective	Arcade	Compilation / Shovelware		http://www.mobygames.com/game/3dworld	Y							VGA						1	Intel i386 DX
DOS05826	1848	3-K Trivia	3-K Trivia	3-K Trivia (1984).zip	3ktriv	1984	IBM	Zee Programming	Quiz						Y													6	
DOS07869		4 Balls Billiards	4 Balls Billiards	4 Balls Billiards (1993).zip	4BallB	1993	Freeware	Jaeheon Shin	Sports / Pool & Snooker		Sports		Sports: Pool	http://nemo838.tistory.com/744?category=701789	Y													1	
DOS00654	41721	4 Queens Computer Casino	4 Queens Computer Casino	4 Queens Computer Casino (1992).zip	4QueensC	1992	Applications Plus, Inc.	Applications Plus, Inc.	Casino	1st-Person Perspective, Top-Down	Cards / Tiles, Casino			http://www.mobygames.com/game/4-queens-computer-casino	Y													4	
DOS00655	50142	4 Soccer Simulators	4 Soccer Simulators	4 Soccer Simulators (1988).zip	4SoccerS	1988	Codemasters	Codemasters	Sports / Soccer	3rd-Person Perspective			Sports: Soccer	http://www.mobygames.com/game/4-soccer-simulators	Y													4	
DOS07858		40080	40080	40080 (1995).zip	40080	1995	Freeware	Lee Minsik	Action; Shooter / Scrolling shoot'em up				Genre: Scrolling shoot 'em up; Theme: Sci-Fi	http://nemo838.tistory.com/704?category=701788	Y													1	
DOS17263		4-4-2 Soccer		4-4-2 Soccer (1997).zip	442	1997	Virgin Interactive Entertainment, Inc.	Arc Developments	Sports / Soccer						Y													2	
DOS00650	162	4-D Boxing	4-D Boxing	4-D Boxing (1991).zip	4-DBoxin	1991	Mindscape, Inc.	Distinctive Software, Inc.	Fighting; Sports / Boxing	3rd-Person Perspective			Sports: Boxing	http://www.mobygames.com/game/4-d-boxing	Y							CGA; VGA; EGA; Tandy / PCjr; MCGA			Y			2	Intel 8088 / 8086
DOS00651	5292	4D Prince of Persia	4D Prince of Persia	4D Prince of Persia (1994).zip	4DPrince	1994	Freeware	Kirill A. Terebilov	Action; Platform	3rd-Person Perspective, Platform, Side-Scrolling	Puzzle-Solving		Fangames; Prince of Persia series	http://www.mobygames.com/game/4d-prince-of-persia	Y													1	
DOS00652	19025	4D Sports Tennis	4D Sports Tennis	4D Sports Tennis (1990).zip	4DSports	1990	Mindscape, Inc.	Distinctive Software, Inc.	Sports / Tennis	1st-Person Perspective, 3rd-Person Perspective			Sports: Tennis	http://www.mobygames.com/game/4d-sports-tennis	Y							VGA; EGA			Y			2	
DOS15197		4-Get-It	4-Get-It	4-Get-It (1992).zip	4getit	1992	Ttr	Silverfox	Puzzle; Strategy						Y													1	
DOS00119	69868	4K Adventure	4K Adventure	4K Adventure (1995).zip	4KAdvent	1998	Freeware	John Metcalf	Adventure; Interactive Fiction					http://www.mobygames.com/game/4k-adventure	Y													1	
DOS15198		4-Mok	4-mok	4-mok (1995).zip	4mok	1995	KBS	Family Production	Puzzle; Strategy						Y													1	
DOS00656	7969	4th & Inches	4th and Inches	4th and Inches (1988).zip	4thInche	1988							Sports: Football	http://www.mobygames.com/game/4th-inches	Y							CGA; EGA; Hercules; Tandy / PCjr						2	Intel 8088 / 8086
DOS00658	545	4x4 Offroad Racing	4x4 Off-Road Racing	4x4 Off-Road Racing (1988).zip	4x4Off-R	1988	Epyx, Inc.	Odan MicroDesign	Arcade; Racing & Driving	3rd-Person Perspective	Arcade, Real-Time			http://www.mobygames.com/game/4x4-off-road-racing	Y							CGA; EGA; Hercules; Tandy / PCjr						1	Intel 8088 / 8086
DOS00659	46087	4x4 Team	4x4 Team	4x4 Team (1988).zip	4x4Team	1988	Infodisc	Infodisc	Arcade; Racing & Driving	3rd-Person Perspective	Arcade			http://www.mobygames.com/game/4x4-team	Y							CGA						1	
DOS00660	14810	50 Mission Crush	50 Mission Crush	50 Mission Crush (1984).zip	50miss	1986	Strategic Simulations, Inc.	Strategic Simulations, Inc.	Strategy; Simulation	Top-Down	Flight, Historical Battle (specific/exact)		Historical Conflict: World War II	http://www.mobygames.com/game/50-mission-crush	Y							CGA						1	Intel 8088 / 8086
DOS00666	1689	5th Fleet	5th Fleet, The	5th Fleet, The (1994).zip	5thflet	1994	The Avalon Hill Game Company	Stanley Associates	Board Game / Party Game; Strategy		Board / Party Game, Naval			http://www.mobygames.com/game/5th-fleet	Y							VGA						2	Intel i386
DOS00667	1529	5X	5X	5X (2000).zip	5X	2000	SpeedStrip Interactive	SpeedStrip Interactive	Strategy		Adult			http://www.mobygames.com/game/5x	Y							VGA						1	Intel i386
DOS00668	2099	688 Attack Sub	688 Attack Sub	688 Attack Sub (1989).zip	688Attac	1989				1st-Person Perspective	Naval			http://www.mobygames.com/game/688-attack-sub	Y							CGA; VGA; EGA; Hercules; Tandy / PCjr; MCGA						2	Intel 8088 / 8086
DOS00669	11468	7 Colors	7 Colors	7 Colors (1991).zip	7colors	1991				Top-Down	Board / Party Game, Puzzle-Solving	Editor / Construction Set	Genre: Tile matching puzzle (creation)	http://www.mobygames.com/game/7-colors	Y							VGA; EGA						2	Intel 8088 / 8086
DOS07266	66267	747-400 Precision Simulator	747-400 Precision Simulator	747-400 Precision Simulator (2000).zip	747400	2000	Aerowinx	Aerowinx	Flight Simulator; Vehicle Simulation	1st-Person Perspective	Flight			http://www.mobygames.com/game/747-400-precision-simulator	Y							VGA						1	Intel i486 DX2
DOS00673	22729	8088 Othello	8088 Othello	8088 Othello (1985).zip	8088	1985	Freeware	M.W. Bayley	Board Game / Reverse or Othello; Strategy	Top-Down	Board / Party Game, Puzzle-Solving		Board / Party Game translations; Board game - Reversi / Othello	http://www.mobygames.com/game/8088-othello	Y													1	Intel 8088 / 8086
DOS00674	3019	9:05	905	905 (2000).zip	905	2000	Freeware	Adam Cadre	Adventure; Interactive Fiction		Interactive Fiction			http://www.mobygames.com/game/905am	Y													1	
DOS07267	68391	9-Hole Miniature Golf	9-Hole Miniature Golf	9-Hole Miniature Golf (1983).zip	9HoleMG	1983	SoftSide Magazine	Mitch Voth	Simulation; Sports / Miniature Golf	Top-Down			Genre: Miniature golf	http://www.mobygames.com/game/9-hole-miniature-golf	Y							CGA						8	Intel 8088 / 8086
DOS00027		A Bloody Life!	Bloody Life, A!	Bloody Life, A! (1998).zip	BloodyLi	1998	Freeware	Quentin D. Thompson	Adventure; Interactive Fiction						Y													1	
DOS00010		A Change in the Weather	Change in the Weather, A	Change in the Weather, A (1995).zip	chanweat	1995	Freeware	Andrew Plotkin	Adventure; Interactive Fiction		Interactive Fiction				Y													1	
DOS07274	67458	A Clue's Solution	A Clue's Solution	A Clue's Solution (1993).zip	ACluSol	1993	Freeware	Unknown	Quiz; Strategy		Puzzle-Solving, Real-Time	Editor / Construction Set		http://www.mobygames.com/game/a-clues-solution	Y							CGA; VGA; EGA						4	
DOS00711	36069	A Day for Soft Food	Day for Soft Food, A	Day for Soft Food, A (1999).zip	softfood	1999	Freeware	Tod Levi	Adventure; Interactive Fiction	1st-Person Perspective	Interactive Fiction			http://www.mobygames.com/game/a-day-for-soft-food	Y													1	
DOS00714	41733	A Dudley Dilemma	Dudley Dilemma, A	Dudley Dilemma, A (1988).zip	duddilem	1988	Freeware	Lane Barrow	Adventure; Interactive Fiction		Interactive Fiction			http://www.mobygames.com/game/a-dudley-dilemma	Y													1	
DOS07544	80886	A Fable	Fable, A	Fable, A (1985).zip	AFAB1985	1985	Freeware	Stan Heller	Adventure; Interactive Fiction					http://www.mobygames.com/game/a-fable	Y													1	
DOS00075	69216	A Journey Into Xanth	Journey Into Xanth, A	Journey Into Xanth, A (1993).zip	Jxanth	1993	Freeware	Neil Sorensen	Adventure; Interactive Fiction				Theme: Fantasy	http://www.mobygames.com/game/a-journey-into-xanth	Y													1	
DOS15199		A La Carrera	A La Carrera	A La Carrera (1991).zip	Acarrera	1991	Ediciones Manali, S.A.	AGD	Simulation; Sports						Y													1	
DOS00569	7970	A Line in the Sand	Line in the Sand, A	Line in the Sand, A (1992).zip	linesand	1992	Strategic Simulations, Inc.	Strategic Simulations, Inc.	Construction and Management Simulation; Strategy	Top-Down	Board / Party Game, Historical Battle (specific/exact)	Licensed Title	Board / Party Game translations; Historical Conflict: Arab-Israeli conflict	http://www.mobygames.com/game/a-line-in-the-sand	Y							VGA; EGA			Y			3	Intel 80286
DOS00120	69883	A Matter of Time	Matter of Time, A	Matter of Time, A (1995).zip	AMattero	1995	Laser Point Publishing	Michael Zerbo	Adventure; Interactive Fiction				Theme: Sci-Fi	http://www.mobygames.com/game/a-matter-of-time	Y													1	
DOS00782	94	A Mind Forever Voyaging	Mind Forever Voyaging, A	Mind Forever Voyaging, A (1985).zip	mindvoy	1985	Infocom, Inc.	Infocom, Inc.	Adventure; Interactive Fiction		Cyberpunk / Dark Sci-Fi, Interactive Fiction		Theme: Sci-Fi	http://www.mobygames.com/game/a-mind-forever-voyaging	Y													1	Intel 8088 / 8086
DOS15146		A Night with Beverly	Night with Beverely, A	Night with Beverly, A (2000).zip	ANiteBev	2000	Freeware	Unknown	Adventure; Interactive Fiction						Y													1	
DOS00013	69886	A Night with Troi	Night With Troi, A	Night With Troi, A (1988).zip	ANightWi	1991	Freeware	BadMan	Adventure; Interactive Fiction					http://www.mobygames.com/game/a-night-with-troi	Y													1	
DOS00797	1791	A Nightmare on Elm Street	Nightmare on Elm Street, A	Nightmare on Elm Street, A (1989).zip	ANightma	1989	Monarch Development	Westwood Studios, Inc.	Action	Top-Down	Horror		Theme: Horror	http://www.mobygames.com/game/a-nightmare-on-elm-street	Y							CGA; VGA; EGA; Hercules; EGA (Tweaked); Tandy / PCjr; MCGA						1	Intel 8088 / 8086
DOS00823	8891	A Question of Sport	A Question of Sport	A Question of Sport (1988).zip	AQSport	1988	Encore, Inc.	Elite Systems Ltd.	Quiz		Game Show	Licensed Title	Inspiration: TV game shows	http://www.mobygames.com/game/a-question-of-sport	Y													2	
DOS00014	69890	A Quick Run Around the House	Quick Run Around the House, A	Quick Run Around the House, A (1991).zip	AQuickRu	1995	Freeware	Roger Kenner	Adventure; Interactive Fiction					http://www.mobygames.com/game/a-quick-run-around-the-house-a-sample-adventure	Y													1	
DOS07674	89143	A.D Cop: Overseas Mission	A.D Cop	A.D Cop (1997).zip	ADCop	1997	Japan Software Engineering Shop	Electronic Music and Animated Graphics CO., LTD.	Action; Shooter					http://www.mobygames.com/game/ad-cop-overseas-mission	Y							SuperVGA		Y	Y			2	Intel i486 DX2
DOS00755	4570	A.G.E.	A.G.E.	A.G.E. (1991).zip	age2	1991					Sci-Fi / Futuristic		Galactic Empire series	http://www.mobygames.com/game/age	Y							VGA						1	
DOS00498	32409	A.J.'s World of Discovery	A.J.'s World of Discovery	A.J.'s World of Discovery (1992).zip	AJsWorld	1992	Coktel Vision	Coktel Vision	Education				Education: Math / Logic; Education: Reading / Writing	http://www.mobygames.com/game/ajs-world-of-discovery	Y													1	
DOS00675	2467	A-10 Tank Killer	A-10 Tank Killer	A-10 Tank Killer (1989).zip	A-10Tank	1989	Dynamix, Inc.	Dynamix, Inc.	Flight Simulator; Vehicle Simulation	1st-Person Perspective, 3rd-Person Perspective	Flight		Historical Conflict: Persian Gulf War	http://www.mobygames.com/game/a-10-tank-killer	Y							CGA; VGA; EGA; Tandy / PCjr; MCGA			Y			1	Intel 8088 / 8086
DOS00676	37297	A2: The Ultimate Sequel To AUTS - The Ultimate Stress Relief Game	A2 - The Ultimate Sequel To AUTS - The Ultimate Stress Relief Game	A2 - The Ultimate Sequel To AUTS - The Ultimate Stress Relief Game (1998).zip	A2TheUlt	1998	Freeware	Unknown	Action; Shooter	Side-Scrolling	Flight, Shooter		Cave-flyers and Thrust variants	http://www.mobygames.com/game/a2-the-ultimate-sequel-to-auts-the-ultimate-stress-relief-game	Y							VGA						6	Intel i486
DOS00677	3456	A320 Airbus: Edition Europa	A320 Airbus (Edition Europa)	A320 Airbus (Edition Europa) (1992).zip	A320EURO	1993					Flight		A320 Airbus series	http://www.mobygames.com/game/a320-airbus-edition-europa	Y													1	Intel i386
DOS00678	45409	A320 Airbus: Edition USA	A320 Airbus (Edition USA)	A320 Airbus (Edition USA) (1993).zip	A320USA	1993	Thalion Software GmbH	Thalion Software GmbH	Flight Simulator; Vehicle Simulation	1st-Person Perspective	Flight		A320 Airbus series	http://www.mobygames.com/game/a320-airbus-edition-usa	Y													1	
DOS00679	1641	AAARGH!	AAARGH!	AAARGH! (1988).zip	AAARGH!	1988	Arcadia Systems, Inc.	Binary Design, Ltd.	Action	3rd-Person Perspective	Arcade			http://www.mobygames.com/game/aaargh	Y							VGA; EGA; Tandy / PCjr; MCGA						1	Intel 8088 / 8086
