eXoID	MobyID	Game	Safe	File	Folder	Year	Publisher	Developer	Genre	Perspective	SubGenre	Misc	Series	URL	Collection	Notes	Compilation?	Foreign?	Add-On Included?	3D Graphics Card	3DFX Enabled	Video Modes	Video Resolution	SC55 Enabled	MT32 Enabled	Tandy Sound Enabled	Printer Support?	Max Players	Min CPU
DOS03093	34940	Last Half of Darkness	Last Half of Darkness	Last Half of Darkness (1989).zip	lasthalf	1989	SoftLab Laboratories	SoftLab Laboratories	Adventure	1st-Person Perspective	Horror, Puzzle-Solving		Last Half of Darkness series; Theme: Horror	http://www.mobygames.com/game/last-half-of-darkness	Y							VGA; EGA	320x200					1	Intel 8088 / 8086
DOS03094	40351	Last Half of Darkness II	Last Half of Darkness II	Last Half of Darkness II (1992).zip	lasthlf2	1992	SoftLab Laboratories	SoftLab Laboratories	Adventure	1st-Person Perspective	Horror		Last Half of Darkness series; Theme: Horror	http://www.mobygames.com/game/last-half-of-darkness-ii	Y													1	
DOS03095	40352	Last Half of Darkness III	Last Half of Darkness III	Last Half of Darkness III (1993).zip	lasthlf3	1993	SoftLab Laboratories	SoftLab Laboratories	Adventure	1st-Person Perspective	Horror		Last Half of Darkness series; Theme: Horror	http://www.mobygames.com/game/last-half-of-darkness-iii	Y													1	
DOS07874		Last Hero in China	Last Hero in China	Last Hero in China (1995).zip	LaHeChin	1995	Gamebox	Gamebox	Action; Beat 'em Up; Fighting				Genre: Beat 'em up / Brawler	http://nemo838.tistory.com/1755?category=701799	Y									Y	Y			1	
DOS03096	30570	Last Knight in Camelot	Last Knight in Camelot	Last Knight in Camelot (1996).zip	LastKnig	1996	Adventure LearningWare	Adventure LearningWare	Action; Platform	3rd-Person Perspective, Platform, Side-Scrolling	Fantasy		King Arthur / Camelot games; Theme: Fantasy	http://www.mobygames.com/game/last-knight-in-camelot	Y							VGA						1	Intel i486
DOS15586		Last Laibers	Last Laibers	Last Laibers (1996).zip	LastLaib	1996	Orange Soft	Trigger Soft	Strategy					https://www.old-games.ru/game/7880.html	Y													1	
DOS03097	1436	Last Ninja 2: Back with a Vengeance	Last Ninja 2 - Back with a Vengeance	Last Ninja 2 - Back with a Vengeance (1990).zip	LastNinj	1990				3rd-Person Perspective, Isometric	Fighting, Martial Arts		Last Ninja series	http://www.mobygames.com/game/last-ninja-2-back-with-a-vengeance	Y							CGA; VGA; EGA; Hercules; Tandy / PCjr						1	
DOS03099	6383	Last Rites	Last Rites	Last Rites (1997).zip	LastRite	1997	Ocean Software Ltd.	Ocean Software Ltd.	Action; First Person Shooter	1st-Person Perspective	Horror, Shooter		Theme: Horror	http://www.mobygames.com/game/last-rites	Y	CD Audio, no midi						VGA; VESA; SuperVGA						8	Intel Pentium
DOS15492	115068	Late Night Sexy TV Show	Late Night Sexy TV Show	Late Night Sexy TV Show (1994).zip	LNSTVS	1994	Dynabyte	Dynabyte	Simulation					http://www.mobygames.com/game/late-night-sexy-tv-show	Y							VGA	320x200					4	
DOS15587		Lava Cap	Lava Cap	Lava Cap (1992).zip	LavaCap	1992	Soleau Software, Inc.	Soleau Software, Inc.	Puzzle					https://www.old-games.ru/game/4957.html	Y													1	
DOS03104	24149	Lawn Mower	Lawn Mower	Lawn Mower (1987).zip	LawnMowe	1987	Freeware	Christopher D. Orr	Action	3rd-Person Perspective, Top-Down	Real-Time			http://www.mobygames.com/game/lawn-mower	Y													1	
DOS07362	65635	Lazarus	Lazarus	Lazarus (1997).zip	Lazaru97	1997	Infinte Dreams Inc.	TimSoft	Platform; Action					http://www.mobygames.com/game/lazarus_	Y							VGA						1	Intel i386 SX
DOS06922	69285	Lazer Beam Wars	Lazer Beam Wars	Lazer Beam Wars (1988).zip	LazBeamW	1988	Freeware	Gary Wilkinson	Action	3rd-Person Perspective	Arcade			http://www.mobygames.com/game/lazer-beam-wars	Y													1	
DOS03110	1721	Le Fetiche Maya	Fetiche Maya, Le	Fetiche Maya, Le (1989).zip	lefemaya	1989	Silmarils	Silmarils	Action; Platform; Racing & Driving	1st-Person Perspective, 3rd-Person Perspective, Side-Scrolling	Puzzle-Solving			http://www.mobygames.com/game/le-fetiche-maya	Y													1	
DOS15950		Leaper	Leaper	Leaper (1992).zip	leaper	1992	Freeware	Lee Chapel	Arcade				Frogger variants		Y													1	
DOS03106	15148	Learn to Add	Learn to Add	Learn to Add (1987).zip	LearntoA	1987	Spinnaker Software Corporation	ChildWare Corporation	Education	3rd-Person Perspective			Education: Math / Logic	http://www.mobygames.com/game/learn-to-add	Y							CGA						1	Intel 8088 / 8086
DOS03107	31	Leather Goddesses of Phobos	Leather Goddesses of Phobos	Leather Goddesses of Phobos (1986).zip	phobos1	1986	Infocom, Inc.	Infocom, Inc.	Adventure; Interactive Fiction		Interactive Fiction, Sci-Fi / Futuristic		Leather Goddesses of Phobos series; Theme: Sci-Fi	http://www.mobygames.com/game/leather-goddesses-of-phobos	Y													1	Intel 8088 / 8086
DOS03108	480	Leather Goddesses of Phobos! 2: Gas Pump Girls Meet the Pulsating Inconvenience from Planet X	Leather Goddesses of Phobos 2	Leather Goddesses of Phobos 2 (1992).zip	leatherg	1992				1st-Person Perspective	Sci-Fi / Futuristic		Leather Goddesses of Phobos series; Theme: Sci-Fi	http://www.mobygames.com/game/leather-goddesses-of-phobos-2-gas-pump-girls-meet-the-pulsating-	Y							VGA; EGA; Tandy / PCjr; MCGA			Y	Y		1	Intel 80286
DOS03109	26129	Lee Trevino's Fighting Golf	Lee Trevino's Fighting Golf	Lee Trevino's Fighting Golf (1988).zip	LeeTrev	1988	SNK Corporation	SNK Corporation	Simulation; Sports / Golf	3rd-Person Perspective, Top-Down		Licensed Title	Sports: Golf	http://www.mobygames.com/game/lee-trevinos-fighting-golf	Y							CGA; EGA						1	Intel 8088 / 8086
DOS17221		Leeds United Champions		Leeds United Champions (1992).zip	leedsun	1992	CDS Software Ltd	Strategy Software Designs	Construction and Management Simulation; Simulation; Sports / Soccer						Y													1	
