Identification FileName	Size	CRC32	eXoID	ZIP	Boot	Image	StartingExe	StartingExeSize	StartingExeCRC	IDFileFolder	Rowstart	Rowlines	eXoDOS entry?	Same ID, Name and Size	Unique File
START.EXE	2800	1AF3BDA6	DOS02608	Highway Hunter (1995).zip						HighwayH\					1
vga.exe	184509	B196F807	DOS02609	Highway Patrol II (1990).zip			start.bat	348	ED603072	HighwayP\					1
MAIN.EXE	146593	193113D1	DOS02611	Hillsfar (1989).zip			run.bat	2038	B6A8769C	hillsfar\					1
HSB_VGA.EXE	58980	BE8C3DC4	DOS02612	Hill Street Blues (1991).zip			run.bat	288	EC3E227B	hsblues\					1
HIND.EXE	1311457	5FE56E15	DOS02613	HIND The Russian Combat Helicopter Simulation (1996).zip			RUN.BAT	353	307F49DB	HINDTheR\					1
HIOCTANE.EXE	736605	FF146C62	DOS02614	Hi-Octane (1995).zip			run.bat	1173	E68DFD5F	Hi-Octan\					1
HIPPY.EXE	93250	5E44EE55	DOS02615	Hippy's Quest (1990).zip						hippy\					1
HGMAIN.EXE	21312	BE2D2A53	DOS02616	Hired Guns (1993).zip			run.bat	450	DC716BBC	hiredgun\					1
HL.EXE	279392	65CA6071	DOS02617	Historyline 1914-1918 (1992).zip			HL14-18.EXE	11872	466EC550	hist1914\hl\					1
hitchhik.dat	158413	F36CA097	DOS02618	Hitchhiker's Guide to the Galaxy, The (1984).zip			run.bat	696	0D313BE0	hgg\					1
QUIZ.EXE	60064	F7FE9FA3	DOS02619	Hitchhiker's Guide to the Galaxy Trivia Challenge, The (1990).zip						TheHitch\					1
LEAGUE.EXE	206060	BD5FF664	DOS02622	Hockey League Simulator (1989).zip						hocksim1\					1
CRACK.EXE	1086	81EE44F1	DOS02623	Hockey League Simulator II (1992).zip						hls2\hls2\					1
HOCUS.EXE	182656	1331BDC7	DOS02624	Hocus Pocus (1994).zip			run.bat	641	64BD34BB	HocusPoc\hocus\					1
HOGBEAR2.EXE	117454	A9AF2498	DOS02625	Hogbear (1989).zip						hogbear\					1
HOLEIONE.EXE	496384	D51FC865	DOS02626	Hole in One (1995).zip			GOLF.BAT	13	8E81FDCC	HoleinOn\HOLEIN1\					1
EGAGOLF.EXE	168624	4619FCEF	DOS02627	Hole-In-One Miniature Golf Deluxe! (1992).zip			GOLF.BAT	154	BEDBEFFD	HoleN1\					1
VGA.COM	27217	4B8A993B	DOS02628	Hole-In-One Miniature Golf Deluxe! (1992).zip			GOLF.BAT	390	9A1739CE	HoleIn1\					1
VGALEMMI.EXE	31520	D9105603	DOS02630	Holiday Lemmings (1993).zip			run.bat	574	3FFAC312	holilemm\					1
hollywoo.dat	109651	087D027A	DOS02631	Hollywood Hijinx (1986).zip			frotz.exe	129024	57987597	hhijinx\					1
HM.EXE	168448	7EFDB7B0	DOS02632	Hollywood Murders, The (1997).zip						hollymur\					1
FUN.EXE	95856	6096233A	DOS02634	Hollywood Squares (1988).zip						hollsqur\					1
HA.EXE	50047	F9A06E4C	DOS02635	Home Alone (1991).zip			run.bat	597	CBA92845	HomeAlon\					1
HA2.EXE	46495	6E79332C	DOS02636	Home Alone 2 - Lost in New York (1992).zip			run.bat	484	8A7E20A8	HomeAlo2\					1
DERBY.EXE	89929	60D3D5AD	DOS02637	Home Run Derby (1995).zip						HomeRunD\					1
Hometown USA.img	368640	C8805ED5	DOS02638	Hometown, USA (1988).zip		Image				Hometown\floppy\					1
HOMEY.EXE	226096	67856483	DOS02639	Homey D Clown (1993).zip			run.bat	454	524A8AA3	homey\					1
HM.EXE	103587	F9266059	DOS02640	Honeymooners, The (1988).zip						TheHoney\					1
HONGIL.EXE	20350	A86D2F64	DOS02641	Hong Gildong-jeon (1993).zip						HongGil1\					1
H2.EXE	134114	9E9BC0D3	DOS02642	Hong Gildong-jeon 2 (1995).zip						HongGild\HGJ2\					1
HKMJ.EXE	111796	8D565884	DOS02643	Hong Kong Mahjong Pro (1992).zip			run.bat	542	9478FB17	hkmahpro\					1
HP.EXE	177664	EE720E7F	DOS02644	Hong Pong (1998).zip						HongPong\					1
hook.exe	6819610	E7F5C641	DOS02646	Hook (1992).zip			run.bat	447	D6E6E94D	hook\					1
HC.COM	19939	5642326A	DOS02647	Hoosier City (1992).zip			run.bat	504	25138ADE	hooscity\					1
HC2.COM	19389	DF9C0260	DOS02647	Hoosier City (1992).zip			run.bat	504	25138ADE	hooscity\					1
HC3.COM	19389	DF9C0260	DOS02647	Hoosier City (1992).zip			run.bat	504	25138ADE	hooscity\					1
HOPY-ONE.EXE	93504	49DB4FE2	DOS02648	Hopy-ONE (1996).zip						HopyONE\					1
TIGER2.EXE	157072	9C028CD5	DOS02649	Rage of Tiger 2 - Blood, Money, and Tears (1994).zip						Horangi\					1
HORDE.EXE	499997	7337D7C7	DOS02650	Horde, The (1994).zip						TheHorde\horde\					1
HZVGA.EXE	127083	E7E891BC	DOS02652	Horror Zombies from the Crypt (1990).zip						HorrorZo\					1
HOSTAGE.COM	3974	377CDA1B	DOS02653	Hostage Rescue Mission (1989).zip						HostageR\					1
HOTSHOT.EXE	79136	F7418191	DOS02654	Hotshot (1989).zip						Hotshot\					1
biro.exe	52836	D5EC33DA	DOS02655	Hound of Shadow, The (1989).zip			hound.bat	102	5175CC94	hound\					1
HOUSE.EXE	121661	C6DB17C3	DOS02656	House at the Edge of Time, The (1990).zip						housedge\					1
V.EXE	34917	B89A6343	DOS02657	Hoverforce (1990).zip			run.bat	606	7488D622	Hoverfor\					1
START.EXE	18071	52B448C5	DOS02658	Hovertank (1991).zip						Hovertan\					1
WEIGH.EXE	6438	A93D3F6C	DOS02659	How to Weigh an Elephant (1989).zip						HowtoWei\					1
resource.000	2000132	B31BC686	DOS02660	Hoyle Classic Card Games (1993).zip			run.bat	748	3F60B561	hoylec\					1
RESOURCE.001	518308	F19C4423	DOS02661	Hoyle Official Book of Games - Volume 1 (1989).zip			run.bat	876	7578C916	hoylebk1\					1
RESOURCE.001	217880	0E85BC6E	DOS02662	Hoyle Official Book of Games - Volume 2 (1990).zip			run.bat	876	36610BA2	hoylebk2\					1
RESOURCE.000	541845	9A83616A	DOS02663	Hoyle Official Book of Games - Volume 3 (1991).zip			run.bat	681	1F7DAA17	hoylebk3\					1
GAME.EXE	46456	E2875325	DOS02664	Huckleberry Hound in Hollywood Capers (1993).zip						Hucklebe\					1
hugo1.img	739814544	0E77A8C9	DOS02665	Hugo 3 (1995).zip		Image	HUGO.BAT	22	89945A8D	Hugo3\4Hugo\					2
hugo1.img	739814544	0E77A8C9	DOS02665	Hugo 3 (1995).zip			HUGO.BAT	22	89945A8D	Hugo3\4Hugo\					2
HUGO.EXE	117599	E203A131	DOS02666	Hugo 2 - Whodunit (1991).zip						hugo2\					1
HUGO.EXE	110587	C2E4F80E	DOS02667	Hugo 3 - Jungle of Doom (1992).zip						Hugo3jd\					1
HHH.EXE	114547	902B5C05	DOS02668	Hugo's House of Horrors (1990).zip						hugohous\					1
START.EXE	36992	8F0A3463	DOS02669	Hulk, The (1984).zip			HULK.BAT	31	DE5AEEB4	thehulk\					1
HKM.COM	17575	FA62FB6C	DOS02670	Human Killing Machine (1988).zip						HumanKil\					1
EVO.EXE	136480	E6921855	DOS02672	Humans 3 - Evolution - Lost in Time (1995).zip			run.bat	985	6B2482E0	humans3\					1
HUMBUG.EXE	108460	AF8B82F0	DOS02675	Humbug (1990).zip						humbug\					1
HB.EXE	45184	92E1042E	DOS02677	Hunchback (1988).zip						Hunchbac\					1
HFRO.COM	838	E1053C64	DOS02678	Hunt for Red October, The (1987).zip						TheHuntf\					1
HFROVGA.EXE	14295	6F5287DA	DOS02679	Hunt for Red October, The (1990).zip						TRedOct\					1
HURDLES.EXE	160598	51288496	DOS02680	Hurdles (1994).zip						Hurdles\					1
HURL.iso	19048448	C549735D	DOS02681	H.U.R.L. (1995).zip		Image	run.bat	631	49AAA00D	HURL\HURL\					1
PINBALL.EXE	444979	8840245C	DOS02683	Hyper 3-D Pinball (1995).zip			TILT.BAT	15	F45B84EF	hyper3D\tilt\					1
HYPER.EXE	82485	3494233A	DOS02684	Hyperspeed (1991).zip			run.bat	624	52FBFEDC	Hyperspe\					1
HYTANK.EXE	209424	9192EBB0	DOS02685	Hyper Tank (1999).zip						HyperTan\					1
D!.EXE	346173	32579BE6	DOS02686	H!Zone (1996).zip			run.bat	609	5C3DE8A0	H!Zone\					1
I-0.z5	178688	2.11E+05	DOS02687	I-O - Jailbait on Interstate Zero (1997).zip			frotz.exe	129024	57987597	IO\					1
BLOCK2.EXE	90010	4ED0658F	DOS02688	Ian Botham's Cricket (1992).zip			CRICKET.BAT	228	7D72C581	IanBotha\					1
BASQUIZ.COM	34121	EBD7BE93	DOS02689	IBM BASIC Quiz, The (1989).zip						TheIBMBA\					1
Icon.exe	35328	186F8B6B	DOS02690	ICON - The Quest for the Ring (1984).zip						iconring\					1
F16.EXE	1502385	8F98CD62	DOS02692	iF-16 Fighting Falcon (1996).zip			RUN.BAT	347	BC00AF2D	iF-16Fig\					1
