Identification FileName	Size	CRC32	eXoID	ZIP	Boot	Image	StartingExe	StartingExeSize	StartingExeCRC	IDFileFolder	Rowstart	Rowlines	eXoDOS entry?	Same ID, Name and Size	Unique File
TFB.EXE	99744	BAAE6095	DOS00001	Final Battle, The (1991).zip						FinBatt\					1
Fyleet.z5	141824	ECBE8CC6	DOS00002	Fyleet (1985).zip			frotz.exe	129024	57987597	fyleet\					1
KLOSHELL.EXE	59328	5CF6A119	DOS00003	Klaustrophobia (1994).zip			KLAUS.BAT	32	B9FE3220	klaust\					1
RUN.EXE	157296	4233DB3B	DOS00004	Runaway (1994).zip						runmonk\					1
MEI.EXE	258719	27CF43F0	DOS00005	Runaway City (1998).zip			PMDIBM.COM	10468	2796D92C	runcity\					1
SCROOGE.EXE	108656	2FB33FB7	DOS00006	Scrooge (1991).zip						scrooge\					1
ZAN.EXE	75801	6E4E3FD1	DOS00007	Treasury of Zan (1989).zip						Zan\zan\					1
VORTEX.EXE	28329	3F68D828	DOS00008	Vortex Factor, The (1985).zip						vortexf\					1
80DAYS.EXE	5980	52FBFEF9	DOS00009	Around the World in 80 Days (1994).zip			80DAYS.BAT	69	96A78910	atwi80d\					1
weather.z5	93696	F732318F	DOS00010	Change in the Weather, A (1995).zip			frotz.exe	129024	57987597	chanweat\					1
minster.z5	228352	C4BC0DB4	DOS00011	Christminster (1995).zip			frotz.exe	129024	57987597	chrimins\					1
10ROGUE.EXE	78344	DE6FC10C	DOS00012	10Rogue (1984).zip						10Rogue\					1
troi.d$$	34425	BAB3F3DE	DOS00013	Night With Troi, A (1988).zip			troi.bat	29	2BBBE24E	ANightWi\					1
SAMPLE.ADV	12906	6D9C7E83	DOS00014	Quick Run Around the House, A (1991).zip			ADVEN2.EXE	139316	E3540DFF	AQuickRu\					1
adventur.exe	64512	5401D31A	DOS00015	Adventure (1987).zip						Adv87\					1
BOOT.EXE	23168	7C67A0C1	DOS00016	AdventureWriter (1983).zip						AdvWrite\					1
african.bas	30025	E1B9B2FE	DOS00017	African Adventure Or In Search of Dr. Livingston (1997).zip			african.exe	58283	BD60E009	AfricanA\					1
AMIS.EXE	57664	906A2EF4	DOS00018	A-MIS Adventure (1993).zip						AMISAdv\					1
c.img	10321920	486BC68A	DOS00019	Art D's Batch Adventure (1993).zip	Boot					adnext\					1
CCAKE.EXE	127944	F6F850C9	DOS00020	Arthur Yahtzee - The Curse of Hell's Cheesecake (2000).zip						ArthurYa\					1
ASIA.EXE	118034	C132841F	DOS00021	Asian Challenge, The (1989).zip						AsianCha\					1
atomia.com	23568	758CF555	DOS00022	Atomia Akorny (1992).zip						AtomiaAk\					1
BAD-BAD.EXE	66206	AF372668	DOS00023	Bad-Bad (1986).zip						BadBad\					1
PHIL.D$$	97443	74F949DC	DOS00024	Battle of Philip against the Forces of Creation, The (1989).zip			PHIL.BAT	11	B0E41C6E	Battleof\					1
BEASLEY.EXE	10080	A44A84B2	DOS00025	Beasley's Deathtrap (1993).zip						Beasleys\					1
EGAORB.EXE	44016	2FBAEBEA	DOS00026	Black Orb, The (1989).zip						BlackOrb\					1
BLOODY.D$$	157221	4A986E57	DOS00027	Bloody Life, A! (1998).zip			BLOODY.BAT	44	826157EF	BloodyLi\					1
BRAINSC2.COM	60112	43229B08	DOS00028	Brainscape (1986).zip						Brainsca\					1
VOL.0	48472	D337FBFD	DOS00029	King's Quest I - Quest for the Crown (1987).zip			SIERRA.COM	3121	C1B11DC9	kq1\					1
KQ2V11H1.IMG	368640	4107B044	DOS00030	King's Quest II - Romancing the Throne (1985).zip	Boot					KQ2pcjr\					1
BREATH.EXE	214348	FE0290C9	DOS00031	Breath Pirates (1997).zip						BreathPi\					1
BS.GAM	194718	45DEE6C8	DOS00032	Broken String, The - The Punk Adventure (1996).zip			TR.EXE	238384	98F7D47E	BrokenSt\					1
MEW.EXE	94700	B675BCBB	DOS00033	Castle Of Mew (1991).zip						CastleOf\					1
CHAOS.EXE	74520	D9272286	DOS00034	Chaos in Space! (2002).zip						ChaosinS\					1
chix.exe	254408	D92D5AFC	DOS00035	Chicks Dig Jerks (1999).zip						ChicksDi\					1
chimaera.exe	202656	2123D6A7	DOS00036	Chimaera (2002).zip						Chimaera\					1
CTA-1.D$$	23004	C49FC77E	DOS00037	Christian Text Adventure #1 (1986).zip			ADVENT.COM	30015	AF088526	Christia\					1
AARBRON.EXE	106325	0E2B1F1D	DOS00038	Chronicles of Aarbron Trilogy, The (1997).zip			run.bat	530	750AA6EE	Chronicl\					1
ccr.gam	291305	863CEB2C	DOS00039	Colossal Cave Revisited (1993).zip						ColosC93\					1
ACCESS.EXE	7168	8C48EBFA	DOS00040	Computer Novel Construction Set (1985).zip			START.BAT	8	66C9E2D5	CompNCS\					1
dred2.exe	108713	4203321D	DOS00041	D.R.E.D. Attack! (1989).zip						DREDAtta\					1
DINKUM.EXE	193032	9B503CEE	DOS00042	Dinkum (1994).zip						Dinkum\					1
DPSH.EXE	123287	156CE6D5	DOS00044	Doppy & Pru's Summer Holiday (1989).zip						DoppySu\					1
BLOXII.EXE	24985	B4539965	DOS00045	Bloxinies II (2016).zip						bloxi2\					1
DOPWORLD.EXE	107801	1C9ADAF9	DOS00046	Doppyworld (1984).zip						Doppywor\					1
DRAGDOM.EXE	63040	7F437388	DOS00047	Dragon's Domain - Anniversary Edition (1993).zip						DragDomn\					1
MANDATE.EXE	88176	E1A6F731	DOS00048	Dragon's Mandate (2007).zip						DragMand\					1
ELECTRA.D$$	8748	BA78BF51	DOS00049	Electrabot (1992).zip			ELECTRA.BAT	13	F465B5ED	Electrab\					1
ELF.D$$	101088	242C2CDA	DOS00050	Elf's Christmas Adventure, The (1992).zip			ELF.BAT	21	687D063C	ElfsChri\					1
ADVINT.EXE	14448	6508ADC0	DOS00051	Elves '87 (1987).zip			ELFPLAY.BAT	14	AAC410D2	Elves87\					1
ENCHANT.EXE	279098	00C57670	DOS00052	Enchantasy - Quest for the Eternal Grimoire (1993).zip						ehantasy\					1
HSP.COM	59171	F96D6F36	DOS00053	Engineering Jones and the Time Thieves of DSPea (1990).zip						EJonesAT\					1
ELI.D$$	72414	B1DA9A44	DOS00054	Escape From the Eli (1992).zip			ELI.BAT	9	DF129A4E	EscEli\					1
FANTASYL.OGO	4153	8428826B	DOS00055	Fantasy (1988).zip			FANTASY.BAT	63	D5537B1C	Fant88\					1
FASTLANE.D$$	80190	6FFEF0FA	DOS00056	Fast Lane (1989).zip			FASTLANE.BAT	14	4F230C16	fastlne\agt\					1
FLYAWAY.EXE	34797	B65B8FB1	DOS00057	Flyaway (1989).zip						Flyaway\					1
Fred.exe	170256	87E23691	DOS00058	Fred's Backyard (1991).zip						FredsBac\					1
FOYER.EXE	32451	43753F9F	DOS00059	FUE - A 3D Adventure (1988).zip						FUEA3DA\					1
RECOVERY.D$$	108459	7940409C	DOS00060	Game of Recovery, The (1993).zip			RECOVERY.BAT	26	412AE178	GameofRe\					1
ADVENTUR.EXE	56192	97A97801	DOS00061	Ghostbusters - Basic Training (1987).zip						GBBTrain\					1
KQ2VGA.EXE	628232	183AED29	DOS00063	King's Quest II - Romancing the Stones (2002).zip						KQ22002\					1
Fleece.exe	106280	3B560CED	DOS00064	Golden Fleece, The (1989).zip						GoldenFl\					1
Wombat.exe	174832	4635113	DOS00065	Golden Wombat of Destiny, The (1988).zip						GoldenWo\					1
RACE.EXE	198497	77A8F422	DOS00066	Great Archeological Race, The (1992).zip						GreatArc\					1
GYMAD.EXE	49256	2470C679	DOS00067	Gymnasium Adventure (1987).zip						Gymnasiu\					1
HICKTOWN.EXE	87536	207785D2	DOS00068	Hick Town (1990).zip						HickTown\					1
HK1997.BAS	21504	73FBCB78	DOS00069	Hong Kong Hustle 1997 (1991).zip			runme.bat	11	47061E9E	HongKong\					1
HURRY.D$$	168318	CC716D46	DOS00070	Hurry! Hurry! Hurry!! (1993).zip			HURRY.BAT	23	8F41A04D	Hurry\					1
IBMADV.EXE	64344	8342F8B2	DOS00071	Infiltration to IBM Headquarters (1987).zip						Infiltra\					1
INTER.EXE	43493	5754BFED	DOS00072	Intercept (1981).zip			INTERC.BAT	37	910B0929	Intercep\					1
ISLAND.EXE	28077	F319E589	DOS00073	Island (1995).zip						Island95\					1
FIRWITCH.EXE	392921	3176D25D	DOS00074	John's Fire Witch (1995).zip						JsFireW\					1
XANTH.D$$	147177	1A502C6C	DOS00075	Journey Into Xanth, A (1993).zip			XANTH.BAT	12	777D46B1	Jxanth\					1
KINGDOM.COM	58106	4D048243	DOS00076	Keys of the Kingdom (1988).zip						Key2King\					1
KLINGON.D$$	15066	4B5C8CD0	DOS00077	Klingon Role Playing Game (1993).zip			RUN.EXE	136144	D19335EC	KlingonR\					1
LONDON.EXE	109401	E5BC37FD	DOS00078	London (1993).zip						London\					1
MAIDLOGO.BAS	2304	48345B93	DOS00079	Maiden (1982).zip			AUTOEXEC.BAT	18	7BFFAF1F	Maiden82\					1
MELITA1.EXE	69936	0192A31E	DOS00080	Melita Adventure I & II (1990).zip			run.bat	346	D81E73FA	MelitaAd\					1
GRAIL.D$$	107487	23CE374F	DOS00081	Misadventure of the Holy Grail, The (1989).zip			GRAIL.BAT	16	09B875CF	MoHGrail\					1
THIEF.D$$	243729	BD26B470	DOS00082	Multi-Dimensional Thief, The (1991).zip			run.bat	407	455176AF	MDTheif\					1
CRUISE.EXE	68290	F56F7D4F	DOS00083	Murder Cruise (1989).zip						MurderCr\					1
MMB.EXE	80576	4B4E52E8	DOS00084	Murder in the Marching Band (1989).zip						MurdMB\					1
MAIN.EXE	37834	BBE2B93B	DOS00085	Mutant Invasion (1987).zip			MUTANTS.BAT	34	A069F69A	MutanInv\					1
PULSAR7.EXE	19456	1F587819	DOS00086	Mysterious Adventure No. 5 - Escape from Pulsar 7 (1983).zip						MystAdv5\					1
NECTAR.EXE	92315	B4F77D38	DOS00087	Nectar of the Gods (1987).zip						NectarG\					1
NOMON.$GA	20325	CB695D14	DOS00088	Nomon (1989).zip			NOMON.BAT	78	B1AD0FA2	Nomon\					1
NURMANS.EXE	55627	7DFAA811	DOS00089	Nurmans (1994).zip						nurmans\					1
STATION.EXE	109679	E9F0A69E	DOS00090	Orbital Observatory Adventure, The (1988).zip						OrbitalO\					1
Advent.com	34360	1EE3DCFD	DOS00091	Original Adventure, The (1982).zip						OrigAdv\					1
PALAD.EXE	49068	2DEEAC8E	DOS00092	Palace Adventure (1987).zip						PalaceAd\					1
PILOT.D$$	100521	115D5C80	DOS00093	Pilot, or, A Flight Into Fantasy, The (1989).zip			PILOT.BAT	11	90767CC9	PilotorA\					1
PIZZA.EXE	167676	8F3ABF85	DOS00094	Pizza Quest I - Cruisin for a Bruisin (198x).zip						PizzaQ1\					1
PORK2.D$$	28269	6DFA9B2A	DOS00095	Pork 2 - The Gizzard of Showbiz (1989).zip			PORK2.BAT	11	5AC796F2	Pork2\					1
PORN34.COM	123456	E5EAACFA	DOS00096	Porno Adventure (1987).zip						PornoAdv\					1
PUFF.EXE	44902	64332B39	DOS00097	Puffwort's Evil Scheme (1995).zip						Puffwort\					1
QUEST.EXE	329488	C3B8DB3F	DOS00098	Quest of Yog (1989).zip						QuesYog\					1
COLOR.EXE	71992	78A39BE1	DOS00099	Return of the Dinosaurs (1988).zip			DINO.BAT	22	A7B80A5A	RetODino\					1
ELAND2.COM	20745	71D36534	DOS00100	Revenge of the Eland (1986).zip						RevEland\					1
SCLOUD.EXE	89142	B57D29CC	DOS00101	Silver Cloud, The (1987).zip						SilverCl\					1
HOBBS.D$$	132597	C5D26E30	DOS00102	Sir Ramic Hobbs and the High Level Gorilla (1989).zip			HOBBS.BAT	12	DFEF117A	SirRamic\					1
Sos.d$$	116640	FF441AA4	DOS00103	Son of Stagefright (1989).zip			Sos.bat	33	EAC419F5	SonofSta\					1
ALIENS.D$$	103356	8FD892CF	DOS00104	Space Aliens Laughed at My Cardigan (1993).zip			ALIENS.BAT	12	3E6CBF7D	SALAMC\					1
LASTTREK.EXE	63696	6DDDE6CD	DOS00105	Star Trek - The Last Generation (1988).zip						STTLG\					1
MANOR.BAS	14208	080A4347	DOS00106	Stoneville Manor (1984).zip			manor.BAT	13	5DDC074E	StonMano\					1
QUEST2.EXE	67448	F55D7F8B	DOS00107	Sword Quest 2 - Tale of the Talisman (1993).zip						swoqu2\quest2\					1
PERILS.EXE	44499	9E139C2F	DOS00108	Tales Of Treasure (1992).zip			run.bat	445	8028B408	TalesOfT\					1
TARK.D$$	116397	54B718F3	DOS00109	Tark Simmons (1988).zip			TARK.BAT	10	2F38DA3A	TarkSimm\					1
QUATT.EXE	54436	C41ABC48	DOS00110	Trouble at the Quatt Wunkery (1988).zip						Troublea\					1
GAME.EXE	741408	429C13C9	DOS00111	U.S.H.F. - Beyond Armageddon (1995).zip			USHF.BAT	37	B96FA6E2	USHFBey\					1
GAME.EXE	133002	FA97E169	DOS00112	Ultizurk 2 - The Shadow Master (1993).zip						Ultizrk2\					1
WORLD.EXE	164442	9DF4E948	DOS00114	World (1988).zip						World88\					1
HARDEST.D$$	117126	B26B4A08	DOS00115	World's Hardest Adventure, The (1993).zip			HARDEST.BAT	14	F60ED5B0	WorHAdv\					1
WUZ.EXE	110388	6B40FAD4	DOS00116	WUZ (1989).zip						WUZ\					1
YNGSTUFF.EXE	159114	7A6291B1	DOS00117	Young Stuff (1993).zip			START.BAT	37	E5592C44	YoungStu\					1
MAIN.EXE	62208	7E18C827	DOS00118	Yumemi (1995).zip			run.bat	461	7D7ADFA2	yumemi\					1
4KA.COM	4096	4EDC595B	DOS00119	4K Adventure (1995).zip						4KAdvent\					1
TIME1.EXE	216141	86F5E27B	DOS00120	Matter of Time, A (1995).zip						AMattero\					1
SAMPLE.D$$	14823	B66E952F	DOS00121	Adventure Game Toolkit (1988).zip			run.bat	600	19E93CF4	AdvGTK\					1
MAGIC.EXE	69680	843263D5	DOS00122	Adventure in the Magic Land (1989).zip						AdvML\					1
BAJORAN.D$$	79380	FA4A9BC5	DOS00124	Bajoran Mercenary Adventure (1993).zip			BAJORAN.BAT	34	4C962509	BajoranM\					1
CRIME.EXE	6885	C26CEA2C	DOS00125	Battune - Crimefighter (1989).zip						BattCF\					1
ACTOR.EXE	28120	DF5B11B5	DOS00126	Battune Becomes an Actor (1989).zip						BattBA\					1
SAFARI.EXE	18600	8289939C	DOS00127	Battune Goes on Safari (1989).zip						BattGS\					1
MUSEUM.EXE	27672	04E1BE9B	DOS00128	Battune Goes to the Museum (1989).zip						BattGM\					1
WONDER.EXE	18398	12761530	DOS00129	Battune in Wonderland (1989).zip						BattW\					1
BEAUTY.EXE	17224	C552602A	DOS00130	Battune Meets Sleeping Beauty (1989).zip						BattMSB\					1
SAILOR.EXE	22463	8D4AB57A	DOS00131	Battune the Sailor (1989).zip						BattSa\					1
BORDER.EXE	149862	59FCDFAD	DOS00132	Borderworld - Part I - The Arrival (1998).zip						Borderwo\					1
CASTAWAY.EXE	73636	3ADF4242	DOS00133	Castaway (1986).zip						Cstawy86\					1
CITY.EXE	34292	D913FB19	DOS00134	Caverns City (1989).zip						CavernsC\					1
DYANTY.D$$	40662	CC73BABE	DOS00135	Caves Of Dyanty, The (1993).zip			RUN.EXE	135952	CB5BD0B9	CavesOfD\					1
CERCLA.D$$	136080	F7B1878A	DOS00136	Cercla - The Game (1993).zip			CERCLA.BAT	10	C214F93D	CerclaT\					1
dred3.exe	139672	58331398	DOS00137	City of Madness (1989).zip						CityofMa\					1
CLIFF.D$$	123363	7EFDCC0D	DOS00138	Cliff Diver - Investigator For Hire (1991).zip			CLIFF.BAT	13	84307488	CliffD1\					1
CLIFF2.D$$	155682	7176E523	DOS00139	Cliff Diver, P.I. - Case 2 (1993).zip			CLIFF2.BAT	24	0D5B3493	CliffD2\					1
CODEX.EXE	119408	F4786E71	DOS00140	Codex Arcana I, Gate Crystal (1994).zip						CodexArc\					1
FIRSTADV.D$$	83754	8C07D618	DOS00141	Colossal Cave - The First Adventure (1991).zip			START2.EXE	52835	F0FD06D5	ColosC91\					1
CRIME.EXE	68208	EF610C0D	DOS00142	Crime Adventure (1987).zip						CrimeAdv\					1
CRYPT.EXE	113364	FA1B2B2A	DOS00143	Crypt (1990).zip						Crypt\					1
DQUEST.EXE	20752	70987427	DOS00144	Daemon Quest - The First Saga - The Legend of the Door (1989).zip						DaemQ1\					1
DQUEST2.EXE	19824	4C110F07	DOS00145	Daemon Quest - The Second Saga - Into the Lion's Den (1989).zip						DaemQ2\					1
DQUEST3.EXE	19824	8B3E1EA5	DOS00146	Daemon Quest - The Third Saga - The Road to the High Tsani (1990).zip						DaemQ3\					1
DARK.EXE	147298	377F46F3	DOS00147	Darkest Night, The - Part I (1996).zip						DarkestN\					1
DEEP.EXE	219889	1E0FA51C	DOS00148	Deep Space Drifter (1990).zip						DSDrift\					1
DEMON2.EXE	64145	315AB9B0	DOS00149	Demon's Maze (1988).zip						DemonsMa\					1
CHAR.EXE	9698	C08F1733	DOS00150	Demon's Orb I - The Quest For The Orb (1990).zip			DEMON.BAT	330	F46FD688	DemOrb1\					1
REDKEY.EXE	230464	3862E7D1	DOS00151	Dezerian Assignment, The - Code Red Key (1993).zip						Dezerian\					1
DISMAL.EXE	88384	421AED3A	DOS00152	Dismal Passages (1992).zip			DISMAL.BAT	47	52BDF90A	Dism95\					1
DIS.EXE	179158	33D8B46E	DOS00153	Dismal Passages - Part I - The Wicked Curse (1995).zip			DISMAL.EXE	88384	421AED3A	Dism92\					1
DN.EXE	6774	1F656336	DOS00154	Dungeon (1990).zip						Dung90\					1
EXPLORER.EXE	78320	C7ED7948	DOS00155	Dungeon Explorer - Dungeon of the Beast (1990).zip						Dexpl\					1
DTDEMO.EXE	125392	2869063A	DOS00156	Dungeon Thief (1991).zip						DungeonT\					1
EAMON.EXE	89832	80D3BA63	DOS00157	Eamon Adventure Disk 1 - The Main Hall (1988).zip						Eamon1\					1
ICECAVE.EXE	84026	9310E757	DOS00158	Eamon Adventure Disk 2 - The Ice Cave (1988).zip			EAMON.EXE	42375	F31FA007	Eamon2\					1
ASSAULT.EXE	119565	F6A1EC90	DOS00159	Eamon Adventure Disk 3 - Assault on the Clone Master (1988).zip			EAMON.EXE	42375	F31FA007	Eamon3\					1
TREZORE.EXE	122869	7D91E32F	DOS00160	Eamon Adventure Disk 4 - Quest For Trezore (1988).zip						Eamon4\					1
EC3.EXE	56864	48D41303	DOS00161	Enchanted Castle (2000).zip						EnchCast\					1
ENHANCED.EXE	387713	A8BCC9E3	DOS00162	Enhanced (1993).zip						Enhanced\					1
EC.EXE	64800	9CCE89C0	DOS00163	Evil Crypt (1992).zip						EvilCryp\					1
TAMRAK.EXE	180386	2A38775D	DOS00164	Fantasy Worlds of Tamrak, The (1993).zip						FantTamr\					1
SYMSAMP.EXE	244278	D77A915C	DOS00165	Four Symbols, The (1992).zip						FourSymb\					1
SCAPERUN.EXE	102952	BF19298F	DOS00166	Gamescape (1993).zip			run.bat	708	78582600	Gamescap\					1
GENEVA.EXE	33264	D46E16E4	DOS00167	Geneva Adventure, The (1989).zip						GenevaAd\					1
HAUNTED.EXE	78596	9E3A7B0D	DOS00168	Haunted Mission Adventure (1987).zip						HauntedM\					1
EASTER.D$$	56052	51C2ABA0	DOS00169	Heather's Easter Egg Hunt (1989).zip			run.exe	135744	1F44D32D	HeathEEH\					1
RESTART.BAT	537	8A692C8F	DOS00170	Hobbit, The - The True Story - Director's Cut (2001).zip						HobbitDC\					1
DEAD.EXE	36486	6B33DD8B	DOS00171	Horror 3.0 (1992).zip			run.bat	440	69946919	Horror30\					1
rylvania.gam	302903	9.45E+295	DOS00172	Horror of Rylvania, The (1993).zip						HorrorRy\					1
QM.EXE	42411	1A160819	DOS00173	Hot Rod Harry (1993).zip			HOTROD.BAT	12	271CB02C	HotRodHa\					1
THEHOUSE.COM	966	08DF3A7A	DOS00174	House, The (1994).zip			TDRHOUSE.BAT	408	4C9C75DA	HouseThe\					1
hunter.img	10321920	550B0C2A	DOS00175	Hunter's Law (1996).zip	Boot					HuntersL\					1
LS01D.EXE	973887	C1423559	DOS00176	HyperComix issue # 1 - Lance Stone - Trouble at the Woz (1993).zip						HCLance\stone\					1
ISLAND.EXE	79412	B2C94975	DOS00177	Island of Mystery Adventure (1987).zip						IslandMy\					1
KQUEST.EXE	64592	EF872656	DOS00178	Kquest (1988).zip						Kquest\					1
LOST.EXE	490620	492E0593	DOS00179	Lost (1993).zip						Lost93\					1
FIFI2.EXE	86207	F6A153BF	DOS00180	Madam Fifi's Whorehouse II - The Next Day! (1989).zip						MadamFif\					1
MEL0000.TOM	9125	81BA2FCD	DOS00181	Mel Odius goes Six String Searchin' (1992).zip			PLAY.BAT	38	5B039147	MemoryH\					1
MODSS.RUN	91176	0E8FDD6F	DOS00182	Menace of Dr. Spoil Sport (1992).zip			MODSS.BAT	25	04A34FC0	MenoDrSS\					1
MOUNTAIN.EXE	35968	C49769C1	DOS00183	Moon Mountain Adventure (1987).zip						MoonMoun\					1
WORLD.EXE	108876	8B986EB7	DOS00184	Moraffs World Beginner's Version (1993).zip			MW.EXE	12823	30C074B7	morafbv\					1
INTRP.EXE	22250	066CBC13	DOS00185	Mordred Manor (1991).zip			MORDRED.BAT	53	0184603D	MordredM\					1
MURDER.EXE	100601	774970D2	DOS00186	Murder on Violet Island (1991).zip						MurdVI\					1
MM1.EXE	240110	41B9FB8B	DOS00187	MythMaster - A Vagabond's Adventure (1991).zip						MythMast\					1
SUBMARIN.EXE	83678	708B7852	DOS00188	Nuclear Sub Adventure (1987).zip						NuclearS\					1
START.EXE	157419	C914F2C1	DOS00189	Pangea - Return to Planet Earth (1993).zip						PangeaRE\					1
PAUL1VGA.EXE	114514	71C8D248	DOS00190	Paul's First Journey (1992).zip						Pauls1st\					1
PORK.D$$	105948	78F97709	DOS00191	Pork 1 - The Great Underground Sewer System (1991).zip			PORK.BAT	10	0B99264D	Pork1\					1
QUEST.EXE	34816	5B0D4D92	DOS00192	Quest of Kukulcan (1987).zip						QuesKuk\					1
RIMWORLD.COM	56465	655C3B2D	DOS00193	Rimworld (1987).zip						Rimworld\					1
ROOMS.EXE	230592	EDA94469	DOS00194	Rooms of the Abyss (1992).zip						RoomAby\					1
RSPACE1.EXE	117340	70272274	DOS00195	R-Space I - Viktor's Escape (1991).zip						RSViktor\					1
RUNCY.EXE	193339	9D7E703B	DOS00196	Runcibal Quest (1992).zip						Runcibal\					1
SAMSP11.EXE	83882	8391171D	DOS00197	Sam Spade Game, The (2008).zip						SSpade08\					1
SHAPE.EXE	128539	BF52F46D	DOS00198	Shapeshifter (1992).zip			SHAPE.BAT	728	BCD8F695	ShapSift\					1
GALLANT.D$$	109674	84B96363	DOS00199	Sir Guy Gallant & The Deadly Warning (1993).zip			GALLANT.BAT	13	8D7AEEF2	SirGuyGa\					1
SKI.EXE	141471	95381EE4	DOS00200	Ski Adventure (1991).zip						SkiAdven\					1
jeopardy.exe	70032	00F939A7	DOS00201	Jeopardy! 2nd Edition (1990).zip						jeap2nd\					1
JEOPARDY.EXE	77264	41C1C859	DOS00202	Jeopardy! 3rd Edition (1989).zip						jeap3rd\					1
DTRAIN.EXE	164800	2363962A	DOS00204	Design Your Own Train (1989).zip						DesignT\					1
LAUNCHER.EXE	138384	0A36D2D9	DOS00205	Mario's Early Years Collection (1994).zip			run.bat	498	7B95636E	MarioPSF\meycd\					2
HELLO.COM	36684	F285BF0A	DOS00206	Mind Castle I (1991).zip						mindc1\					1
HELLO.COM	36811	3907862D	DOS00207	Mind Castle II (1991).zip						mindc2\					1
Q2GOLD.EXE	272428	24DFDCDD	DOS00208	Quatris II Gold (1998).zip			QUATRIS.BAT	58	AE5292C8	QuatrisG\					1
MAIN.EXE	116370	86BB24B3	DOS00210	BAT 2 - The Koshan Conspiracy CD (1992).zip			KCD.BAT	90	0DCAD3B7	kcd\					1
DREAMWEB.EXE	65440	40EB221D	DOS00211	Dreamweb CD (1994).zip						dreamwbc\dreamweb\					1
plague.exe	232282	81E1FB31	DOS00212	Plague of the Moon (1994).zip						plagmoon\					1
REVENGE.EXE	546322	5B773B44	DOS00213	Clyde's Revenge (1995).zip			run.bat	475	34E38762	clyderev\					1
JEOPARDY.EXE	26302	A61BC8C9	DOS00214	Super Jeopardy! (1991).zip						jeapsupr\					1
STUDIO.EXE	2484	C88987B2	DOS00215	Virtual Reality Studio (1991).zip						VRS1\					1
GTW.COM	30976	A408F72A	DOS00216	Global Thermonuclear War (1988).zip						globther\					1
SIMCITY.EXE	282913	5B1E614E	DOS00217	SimCity Classic (1994).zip			run.bat	1308	7CB6DE5B	SimCityC\					1
MAX.EXE	183782	C8B0A3A4	DOS00218	Space MAX (1992).zip			run.bat	462	F001500C	spacemax\spacemax\					1
NOGGIN.EXE	40134	D1070BF7	DOS00219	Nogginknockers (1993).zip						Noggink\Noggin\					1
SKIKING3.EXE	92305	52769812	DOS00220	Ski King 3 (1997).zip						SkiKing3\					1
DC1.EXE	33920	494436BB	DOS00221	SuperSki (1988).zip			SUPERSKI.BAT	512	507B3098	SperSki\					1
stat.img	368640	042037C3	DOS00222	Pure-stat College Basketball (1987).zip		Image				statbask\floppy\					1
BRIX1.EXE	159920	62995096	DOS00223	Brix (1993).zip						brix93\					1
EJ.EXE	117970	4FA4CE25	DOS00224	Penthouse - Electric Jigsaw (1991).zip						phjigsaw\					1
AMEM.GL	472457	A764B5F2	DOS00225	Animated Memory Game, The (1994).zip			AMEM.BAT	19	C6A8F5EC	tamg\					2
QUEENS-D.CHN	11937	7CD0F463	DOS00226	Eight Queens (1986).zip			PASRUN.COM	12230	0706FE50	8queens\					1
COMPEASE.EXE	69315	0A55E341	DOS00227	Computer-Ease (1992).zip						compease\					1
GRAMMAR.EXE	54275	1D85FC5C	DOS00228	Grammarama (1991).zip						grammar\					1
GT.EXE	52758	C9C40B04	DOS00229	GeoTutor 1 - Europe (1991).zip			GEO.BAT	29	DE24D24A	geotut1\					1
GT.EXE	52895	819CAA1F	DOS00230	GeoTutor 2 - South America (1991).zip			GEO.BAT	29	DE24D24A	geotut2\					1
GT.EXE	58812	C4C9FB0B	DOS00231	GeoTutor 3 - Central America (1991).zip			GEO.BAT	29	DE24D24A	geotut3\					1
QUIZPRES.EXE	9424	63692762	DOS00232	Nations and Capitals (198x).zip						Nations\					1
CUCKOO.EXE	32992	2329F9A9	DOS00233	Cuckoo's Nest (1987).zip						CuckooN\					1
DEATH.EXE	24993	E5AEEF88	DOS00234	Dungeon of Death (1989).zip						DunODeat\					1
SHALAN.COM	22730	34A69994	DOS00235	Dungeon of Shalan (1988).zip						dshalan\					1
KITADEL.EXE	25248	558581BF	DOS00236	Kitadel (1987).zip						Kitadel\					1
MURDER.EXE	38780	7ACDD4E3	DOS00237	Murder in the Museum (1988).zip						MurMuse\					1
PLANET.EXE	43264	0403749C	DOS00238	Planet of the Robots (1986).zip						PlanRobo\					1
SAMERICA.EXE	92324	49A574B2	DOS00239	South American Trek (1986).zip						SAmTrek\					1
STARENC.EXE	44721	54C5AD36	DOS00240	Starship Encounter (1989).zip						StarEnc\					1
WESTERN.EXE	65576	39877870	DOS00241	Western (1988).zip						Western\					1
ZZT.EXE	39740	70F80783	DOS00242	ZZT's City (1991).zip						ZZTCity\					1
BRICKWAR.EXE	16121	D068EC37	DOS00243	Brickwar (1987).zip						brickwar\					1
CASTLE.EXE	97872	03A265D0	DOS00244	Castle of Kroz (1990).zip						castkroz\					1
CIRCUIT.EXE	44786	69F91CF2	DOS00245	On Disk Monthly's Circuitry (1992).zip						ODMCirc\					2
CONFLAG.EXE	56857	97F6712E	DOS00246	Conflagration (1993).zip						conflag\					1
DIVER.EXE	23088	B412B471	DOS00247	Deep Sea Diver (1991).zip						deepsead\					1
