eXoID	Game	Folder	AutoexecEcho	AutoexecMounts	AutoexecPrelauncher1	AutoexecPrelauncher2	AutoexecPrelauncher3	AutoexecPrelauncher4	AutoexecExecuteable	AutoexecLastMountPath	AutoexecLastPathChange	AutoexecPathChanges	Adir	Bdir	Cdir	Ddir	ExitFound	DOSBoxVersion	ScummVM
DOS02619	The Hitchhiker's Guide to the Galaxy Trivia Challenge	TheHitch		C;;;|					quiz	c:	TheHitch	c:\TheHitch quiz|					Yes	dosbox.exe	
DOS02640	The Honeymooners	TheHoney		C;;TheHoney;|					hm	c:	TheHoney	c:\TheHoney hm|			TheHoney		Yes	dosbox.exe	
DOS02650	The Horde	TheHorde		C;;TheHorde;|D;IMG;horde.cue;-t cdrom|					horde	c:	horde	c:\horde horde|			TheHorde	horde.cue	Yes	dosbox.exe	
DOS02669	Questprobe featuring The Hulk	thehulk		C;;thehulk;|					call run.bat	c:		c: call run.bat|			thehulk		Yes	staging0.81.0a\dosbox.exe	
DOS02678	The Hunt for Red October	TheHuntf		C;;;|					hfro	c:	TheHuntf	c:\TheHuntf hfro|					Yes	dosbox.exe	
DOS02689	The IBM BASIC Quiz	TheIBMBA		C;;;|					BASQUIZ	c:	TheIBMBA	c:\TheIBMBA BASQUIZ|					Yes	dosbox.exe	
DOS02714	The Incredible Hulk: The Pantheon Saga	TheIncre		C;;TheIncre;|D;IMG;INCREDIBLEHULK.CUE;-t cdrom|					hulk	c:	hulk	c:\hulk hulk|			TheIncre	INCREDIBLEHULK.CUE	Yes	dosbox.exe	
DOS05099	Their Finest Hour: The Battle of Britain	TheirFin		C;;TheirFin;|					bob	c:	bob	c:\bob bob|			TheirFin		Yes	dosbox.exe	
DOS03076	The Land	theland		C;;;|					theland	c:	theland	c:\theland theland|					Yes	dosbox.exe	
DOS03088	The Last Bounty Hunter	TheLastB		C;;TheLastB;|D;IMG;BOUNTYHUNTR.ISO;-t cdrom|					call bh	c:	BH	c:\BH call bh|			TheLastB	BOUNTYHUNTR.ISO	Yes	ece4230\dosbox.exe	
DOS03091	The Last Eichhof	TheLastE		C;;TheLastE;|					beer	c:	TheLastE	c:\TheLastE beer|			TheLastE		Yes	dosbox.exe	
DOS00277	The Last Knight	TheLastK		C;;TheLastK;|D;IMG;lastknight.iso;-t cdrom|					goblins	d:		d: goblins|			TheLastK	lastknight.iso	Yes	dosbox.exe	
DOS05922	The Last Mission	TheLastM		C;;TheLastM;|					call run.bat	c:		c: call run.bat|			TheLastM		Yes	staging0.81.0a\dosbox.exe	
DOS03098	The Last Ninja	TheLastN		C;;TheLastN;|					ninja	c:	TheLastN	c:\TheLastN ninja|			TheLastN		Yes	dosbox.exe	
DOS03163	The Light Corridor	TheLight		C;;;|					call tatou	c:	TheLight	c:\TheLight call tatou|					Yes	dosbox.exe	
DOS03196	The Lion King	TheLionK		C;;TheLionK;|					LIONKING	c:	TheLionK	c:\TheLionK LIONKING|			TheLionK		Yes	dosbox.exe	
DOS03232	The Lost Admiral	TheLostA		C;;;|					atsea B	c:	TheLostA	c:\TheLostA atsea B|					Yes	dosbox.exe	
DOS03240	The Lost Episodes of Doom	TheLostE		A;IMG;tleodoomcd.img;-t floppy|C;;;|					call run	c:	TheLostE\DOOM	c:\TheLostE\DOOM call run|	tleodoomcd.img				Yes	ece4230\dosbox.exe	
